序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
314,66000,冠億製冰冷凍股份有限公司,99670575,臺中市東區東南里東光路２００巷１２號,08食品製造業,089其他食品
315,66000,潔達有限公司,99670592,臺中市南區樹義里樹義路３９巷１號,08食品製造業,089其他食品
316,66000,大由豆腐工廠,99670593,臺中市南區樹義里樹義五巷７之１號,08食品製造業,089其他食品
317,66000,新德興糖?廠,99670702,臺中市南區樹義里福田三街３２６號,08食品製造業,089其他食品
318,66000,金陵蛋糕食品有限公司工廠,99670786,臺中市中區大墩里三民路二段１８３巷９號,08食品製造業,089其他食品
319,66000,壬宏實業有限公司,99670810,臺中市北區建成里天祥街２０８號,08食品製造業,089其他食品
320,66000,洪氏生化科技股份有限公司,99670817,臺中市南屯區寶山里工業區二十五路２７號,08食品製造業,089其他食品
321,66000,宏岱企業有限公司,99670932,臺中市西屯區大河里長安路一段２２８號,08食品製造業,089其他食品
322,66000,?寶冰果廠,99670982,臺中市北區金龍里錦中街１１２號一樓,08食品製造業,089其他食品
323,66000,信昌食品加工廠股份有限公司,99671030,臺中市東區東門里東光園路118號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
324,66000,順天堂藥廠股份有限公司台中廠,99671568,臺中市西屯區協和里工業區四十二路16號,"08食品製造業,20藥品及醫用化學製品製造業","089其他食品,200藥品及醫用化學製品"
325,66000,德昌製冰有限公司,99671578,臺中市西區和龍里篤行路167號,08食品製造業,089其他食品
326,66000,建成食品工廠,99671626,臺中市東區東信里振興路375巷4號,08食品製造業,083蔬果處理及其製品
327,66000,龍達國際有限公司,99671636,臺中市東區東門里旱溪西路一段１７７巷１６號,08食品製造業,"083蔬果處理及其製品,089其他食品"
328,66000,三嘉馨企業有限公司,99671658,臺中市西屯區協和里工業區三十八路１９７號,08食品製造業,"089其他食品,083蔬果處理及其製品"
329,66000,美珍香本店,99671670,臺中市中區公園里中山路８７號,08食品製造業,089其他食品
330,66000,裕馨國際食品科技有限公司,99671694,臺中市西屯區協和里工業區三十八路２１０號４樓之７,08食品製造業,089其他食品
331,66000,大發行工廠,99671710,臺中市西屯區大河里大河街９１號,08食品製造業,"083蔬果處理及其製品,089其他食品"
332,66000,漪坊麵包股份有限公司,99671785,臺中市西屯區協和里工業區三十二路５３號,08食品製造業,089其他食品
333,66000,泰佑食品有限公司,99671790,臺中市北區六合里成功路５１６號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
334,66000,雪宮冷凍股份有限公司,99671793,臺中市西屯區協和里工業區三十七路３４號,08食品製造業,"081肉類處理及其製品,089其他食品"
335,66000,金潤益食品工業有限公司,99671815,臺中市北屯區北京里進化北路33號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品,089其他食品"
336,66000,振美行,99671836,臺中市北區金龍里益華街４１號１樓,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
337,66000,津谷食品股份有限公司,99671873,臺中市西屯區大河里文心路三段１７９之１５號一，二樓及地下室,08食品製造業,"081肉類處理及其製品,082水產處理及其製品,083蔬果處理及其製品,089其他食品"
338,66000,劉麵包廠,99671916,臺中市西區後龍里向上路一段2之3號,08食品製造業,089其他食品
339,66000,合興通食品股份有限公司,99671951,臺中市南區樹義里樹義六巷5之20號,08食品製造業,"083蔬果處理及其製品,089其他食品"
340,66000,三益釀造化學工廠,99672090,臺中市南區福興里福平街１００號,08食品製造業,"083蔬果處理及其製品,089其他食品"
341,66000,寶泉食品股份有限公司,99672091,臺中市中區公園里自由路二段３６號,08食品製造業,089其他食品
342,66000,新聯成食品廠,99672221,臺中市西屯區逢甲里文華路３７號,08食品製造業,089其他食品
343,66000,金慶豐製米工廠分廠,99701043,臺中市神岡區山皮里神岡路一九七之二一號,08食品製造業,086碾榖、磨粉及澱粉製品
344,66000,興豐碾米所,99701049,臺中市沙鹿區鹿寮里中山路五二四號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
345,66000,哈妮食品廠,99701079,臺中市豐原區翁子里豐勢路一段５７７巷４８號,08食品製造業,086碾榖、磨粉及澱粉製品
346,66000,楊協益米廠,99701086,臺中市大雅區橫山里永和路三二號,08食品製造業,086碾榖、磨粉及澱粉製品
347,66000,信義豐碾米工廠,99701121,臺中市大甲區頂店里中山路一段1158巷2號,08食品製造業,086碾榖、磨粉及澱粉製品
348,66000,利達製藥股份有限公司,99701140,臺中市大甲區岷山里中山路一段906號,"08食品製造業,19化學製品製造業,20藥品及醫用化學製品製造業","200藥品及醫用化學製品,089其他食品,194化粧品"
349,66000,王記農產品實業有限公司,99701213,臺中市大甲區德化里東西八路一段398巷32號,08食品製造業,089其他食品
350,66000,永興珍餅 廠,99701231,臺中市沙鹿區沙鹿里沙田路二０六號,08食品製造業,089其他食品
351,66000,瑞豐商行,99701236,臺中市梧棲區興農里中央路一段四七０號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品"
352,66000,陸勝記碾米工廠,99701254,臺中市烏日區東園里溪南路一段238巷255號,08食品製造業,086碾榖、磨粉及澱粉製品
353,66000,川庫有限公司,99701263,臺中市龍井區新庄里新興路二二六巷四二號,08食品製造業,089其他食品
354,66000,堅泰有限公司,99701275,臺中市太平區宜欣里溪洲路一三０巷五號,08食品製造業,089其他食品
355,66000,蔡大裕行,99701301,臺中市清水區武鹿里五權路五０一巷二０號,08食品製造業,086碾榖、磨粉及澱粉製品
356,66000,新豐冷凍股份有限公司,99701418,臺中市石岡區萬興里豐勢路六九九號,08食品製造業,089其他食品
357,66000,宏噠食品有限公司,99701437,臺中市神岡區豐洲里神洲路一三０巷二三之六號二樓,08食品製造業,089其他食品
